title,author,average_rating,ratings_count,reviews_count,book_url,rating_to_review_ratio
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,11168453,1340214.3599999999,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-philosopher-s-stone,8.333327115427181
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,11168453,1340214.3599999999,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,8.333327115427181
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.35,9691853,1163022.3599999999,https://www.goodreads.com/book/show/2767052-the-hunger-games,8.333326168100356
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.67,7180957,861714.84,https://www.goodreads.com/book/show/41865.Twilight,8.33332366270533
To Kill a Mockingbird,Harper Lee,4.26,6747983,809757.96,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,8.333323042205054
The Great Gatsby,F. Scott Fitzgerald,3.93,5787838,694540.5599999999,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,8.333321335011256
The Fault in Our Stars,John Green,4.12,5624557,674946.84,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,8.333320986700247
1984,George Orwell,4.2,5301132,636135.84,https://www.goodreads.com/book/show/40961427-1984,8.333320233426507
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,4727636,567316.32,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,8.333318644317082
Pride and Prejudice,Jane Austen,4.29,4688290,562594.7999999999,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,8.333318521041218
"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,4.09,4468690,536242.7999999999,https://www.goodreads.com/book/show/27362503-it-ends-with-us,8.333317793138121
Animal Farm,George Orwell,4.01,4417169,530060.28,https://www.goodreads.com/book/show/170448.Animal_Farm,8.333317611880648
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,4392542,527105.04,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,8.333317523737728
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.3,4380761,525691.32,https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again,8.333317481221716
"Divergent (Divergent, #1)",Veronica Roth,4.13,4316257,517950.83999999997,https://www.goodreads.com/book/show/13335037-divergent,8.333317244321403
The Diary of a Young Girl,Anne Frank,4.2,4110844,493301.27999999997,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,8.333316440378098
